age,studytime,failures,absences,G1,G2,traveltime,freetime,goout,health,internet,paid,activities,nursery,higher,romantic,famrel,schoolsup,famsup,G3,grade
21,4,0,11,11,18,1,4,4,3,1,0,0,1,0,1,2,0,1,11,C
18,2,0,19,14,15,2,3,1,3,0,1,0,1,0,1,1,1,0,14,B
19,3,0,5,16,11,1,3,2,3,1,0,1,1,0,1,5,0,0,16,B
21,1,0,22,5,11,2,4,2,1,0,0,0,1,1,0,2,1,1,7,D
17,4,0,25,6,19,1,1,3,4,0,0,1,1,0,1,4,0,1,10,C
19,1,0,3,17,5,4,1,1,3,1,1,1,0,1,1,4,1,0,10,C
19,2,0,5,13,7,2,3,3,4,0,1,0,0,1,0,2,1,1,13,C
21,2,1,10,4,9,2,3,2,3,1,1,1,1,0,1,2,1,0,6,F
16,2,1,0,14,15,3,3,2,5,0,0,0,1,1,0,2,0,0,14,B
17,4,0,29,19,14,3,4,2,5,0,0,0,1,1,1,3,1,1,16,B
21,3,0,23,5,12,1,1,1,5,1,1,1,1,0,1,5,1,1,7,D
17,4,0,22,17,18,2,3,1,2,0,1,1,1,1,0,5,0,0,17,A
17,1,0,14,19,19,1,3,2,3,1,0,1,1,1,1,4,0,1,17,A
19,4,1,26,10,11,4,2,3,2,1,0,1,0,0,1,4,0,0,10,C
18,1,0,10,13,15,3,4,3,4,1,0,1,0,0,1,4,0,1,15,B
17,4,2,24,5,18,1,2,4,2,0,0,1,1,0,1,1,1,1,10,C
20,3,0,18,9,11,1,1,2,4,0,1,0,1,1,0,4,0,1,8,D
19,1,0,17,18,10,3,2,3,4,0,0,0,1,1,0,2,0,1,13,C
16,2,1,16,6,17,2,2,2,4,1,0,0,0,0,1,4,0,1,10,C
18,2,2,18,7,16,1,2,3,2,1,0,1,1,1,1,2,0,0,9,D
20,4,1,20,14,12,3,4,4,3,0,0,1,0,0,0,3,0,0,10,C
20,2,1,13,18,18,2,1,4,2,0,0,1,0,0,0,1,0,0,19,A
16,1,0,26,16,5,4,2,2,3,1,0,0,0,0,1,1,0,1,7,D
18,2,1,17,11,6,3,4,3,3,0,0,0,1,1,0,5,1,0,5,F
19,3,0,27,17,13,1,1,1,4,1,1,1,1,1,0,3,1,0,15,B
15,3,2,18,6,11,4,3,4,2,0,1,1,0,0,0,2,1,1,8,D
18,4,0,14,13,17,2,2,2,3,1,1,1,0,0,0,3,1,1,14,B
16,1,1,14,9,9,2,1,2,5,0,0,1,0,1,1,1,1,1,6,F
20,3,0,3,4,13,3,2,3,3,0,1,0,0,0,0,2,0,0,11,C
19,3,0,6,10,12,3,3,2,5,1,0,0,1,1,1,3,0,0,12,C
18,1,0,12,11,13,3,1,4,2,1,0,0,0,0,1,1,0,1,10,C
15,2,1,2,14,7,2,4,2,2,1,0,1,1,0,0,2,0,0,10,C
15,2,0,15,17,19,4,1,2,2,0,0,0,0,1,1,2,1,0,17,A
17,4,0,8,11,11,2,4,1,3,1,1,1,1,1,1,1,1,1,14,B
17,2,0,7,6,13,1,1,1,1,1,0,1,0,1,0,2,0,0,12,C
21,1,0,19,17,6,2,4,4,3,0,0,1,1,1,0,1,0,1,11,C
16,3,2,12,13,6,1,3,3,3,1,1,0,1,1,0,4,1,0,7,D
18,2,0,16,4,11,4,3,1,4,1,1,0,1,0,1,4,1,1,7,D
18,4,3,16,12,8,3,3,3,4,1,1,1,0,0,1,2,1,0,7,D
21,2,0,16,16,6,3,1,4,3,0,0,0,1,1,1,2,0,0,10,C
20,1,0,0,9,13,2,3,1,5,0,1,1,0,1,1,1,0,1,11,C
20,4,1,7,14,14,3,2,3,4,0,0,1,1,0,0,2,1,1,15,B
21,2,1,18,12,19,4,3,1,3,1,0,1,1,0,1,5,1,1,15,B
20,4,0,5,10,4,3,4,4,1,0,1,0,0,1,0,4,0,1,6,F
17,1,0,2,4,18,2,4,4,5,1,1,0,1,1,0,2,0,0,11,C
18,3,1,26,15,6,4,4,1,2,1,1,1,1,0,0,2,0,1,7,D
21,1,0,4,15,15,1,1,3,3,1,0,0,0,1,0,3,0,1,14,B
18,1,3,12,4,12,2,2,2,3,0,0,0,1,0,1,2,1,1,3,F
15,1,3,14,9,8,1,3,2,5,0,0,0,1,0,0,5,1,1,4,F
17,1,1,13,8,15,4,2,1,4,1,0,0,1,1,1,4,1,1,9,D
19,3,0,28,12,13,2,2,3,4,1,0,1,1,0,0,3,0,0,9,D
17,3,1,22,5,18,2,4,2,4,0,0,0,0,0,0,1,0,1,8,D
21,4,0,15,11,5,4,4,4,2,0,1,1,1,0,0,1,0,1,10,C
19,2,0,17,14,10,3,4,3,5,0,0,1,1,1,1,4,1,1,7,D
15,3,0,21,8,18,2,1,2,5,1,1,0,1,0,0,1,1,0,14,B
21,3,0,28,5,5,2,2,3,4,0,1,1,1,1,0,5,1,0,6,F
16,2,2,21,16,7,1,2,1,4,0,1,1,1,0,0,2,0,0,9,D
18,3,1,10,13,15,3,1,3,1,0,1,0,1,0,0,4,0,1,12,C
15,1,1,2,14,10,1,1,2,1,1,1,1,1,0,1,3,1,1,7,D
18,1,0,21,14,7,1,1,1,3,0,0,1,1,0,1,2,0,0,10,C
20,2,0,9,15,10,3,2,3,3,1,0,0,0,0,0,1,1,0,14,B
16,4,0,9,9,19,3,2,4,5,1,0,0,0,1,0,1,1,1,16,B
16,4,3,29,13,10,4,4,2,5,1,0,0,0,1,1,3,1,1,6,F
15,2,0,20,11,19,3,4,1,2,0,1,0,0,0,1,5,1,1,14,B
16,2,2,15,7,4,2,2,3,2,0,1,0,1,1,1,3,0,0,2,F
19,1,0,11,5,9,3,4,4,1,0,1,1,1,1,0,4,0,1,5,F
16,4,0,1,15,12,4,1,2,3,1,0,1,0,0,1,3,0,1,16,B
18,3,1,8,14,5,4,3,4,1,0,0,0,0,1,0,1,0,0,7,D
18,1,0,23,8,17,4,4,3,1,1,0,0,0,1,1,5,0,0,10,C
21,2,2,2,18,6,3,2,3,3,0,0,1,1,1,1,5,0,0,7,D
18,4,2,23,15,13,3,4,1,2,0,1,0,1,1,0,3,1,1,9,D
21,3,0,29,5,8,1,4,4,3,0,1,0,0,0,1,4,0,0,6,F
18,3,0,24,5,12,1,4,1,4,0,0,1,0,1,0,1,0,0,10,C
19,1,0,29,18,7,2,3,2,4,1,0,1,0,0,1,2,0,1,10,C
21,4,2,14,9,4,1,1,1,4,1,1,1,0,0,0,5,1,1,2,F
